U;P
7.0;3.5e-2
8.0;2.80e-2
9.0;2.60e-2
9.5;2.50e-2
10.0;2.35e-2
10.3;2.2e-2
10.3;2.37e-2 # пробитие 9.4
9.3;2.38e-2
9.1;2.39e-2
8.8;2.44e-2
8.4;2.5e-2
8.2;2.55e-2
8.0;2.60e-2
7.2;2.7e-2
6.9;2.75e-2
6.7;2.8e-2
6.1;2.85e-2
5.8;2.9e-2
5.4;2.95e-2
5.0;3.01e-2
4.6;3.1e-2
4.2;3.14e-2
4.0;3.2e-2
3.4;3.35e-2
3.3;3.4e-2
3.1;3.45e-2
3.0;3.5e-2
2.9;3.55e-2
2.8;3.6e-2
2.7;3.7e-2
2.6;3.8e-2
2.5;3.85e-2
2.4;3.95e-2
2.3;4.0e-2
2.2;4.15e-2
2.0;4.6e-2
1.9;4.7e-2
1.8;4.95e-2
1.7;5.03e-2
1.6;5.4e-2
1.5;5.7e-2
1.4;6.2e-2
1.3;6.75e-2
1.2;7.6e-2
1.1;8.6e-2
1.0;9.6e-2
0.9;1.14e-1
0.8;1.4e-1
0.7;1.9e-1
0.8;5.3e-1
0.9;8.09e-1
1.0;8.89e-1
